  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Procedimento e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Procedimento";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"0201010011 AMNIOCENTESE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,20;-;-;-;-;-;-;-;-;2,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,64;-;-;-;-;-;-;-;2,64;-;-;-;-;-;-;-;2,20;5,28;-;2,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,64;22,44
"0201010038 BIOPSIA CIRURGICA DE TIREOIDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200,56;-;-;-;224,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200,56;-;200,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200,56;-;-;-;-;-;-;-;-;-;-;-;192,52;-;200,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200,56;-;-;1808,13
"0201010046 BIOPSIA DE ANUS E CANAL ANAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35,44;14,77;-;17,72;64,98;14,77;-;212,68;35,44;29,54;14,77;-;18,46;36,92;36,92;195,67;55,38;22,15;40,61;59,07;84,91;36,92;55,38;18,46;40,61;18,46;-;18,46;40,61;44,30;73,84;23,07;18,46;55,38;55,38;22,15;45,22;44,30;40,61;22,15;81,22;62,76;84,91;-;99,68;103,37;81,22;62,76;22,15;18,46;18,46;81,22;22,15;36,92;18,46;22,15;129,22;40,61;73,84;118,14;110,76;18,46;36,92;62,76;73,84;18,46;59,07;36,92;77,53;40,61;40,61;-;27,69;147,68;18,46;59,07;103,37;40,61;95,99;187,36;177,21;72,91;40,61;-;73,84;27,69;18,46;121,83;46,15;40,61;92,30;118,14;91,37;63,68;86,76;62,76;40,61;46,15;36,92;36,92;95,99;59,07;46,15;-;40,61;22,15;68,30;46,15;-;22,15;92,30;64,61;175,37;184,60;73,84;64,61;205,82;108,91;115,37;83,06;-;18,46;23,07;36,92;59,07;36,92;36,92;46,15;36,92;114,45;129,22;-;40,61;81,22;18,46;18,46;63,68;104,29;124,60;129,22;92,30;87,68;68,30;142,14;55,38;101,52;78,45;59,99;41,53;18,46;27,69;41,53;22,15;55,38;92,30;106,14;73,84;18,46;-;-;9263,69
"0201010062 BIOPSIA DE BEXIGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33,34;66,68;-;-;73,34;-;-;-;-;66,68;66,68;-;-;-;83,36;41,68;-;-;-;-;-;-;41,68;166,72;-;-;-;41,68;-;133,37;83,36;41,68;-;41,68;-;133,37;-;-;41,68;41,68;-;83,36;-;-;-;-;-;-;41,68;41,68;41,68;41,68;41,68;83,36;-;91,69;-;-;83,36;41,68;-;50,01;125,04;-;41,68;166,72;-;-;-;208,40;50,01;41,68;-;-;-;41,68;50,01;175,05;52,10;541,84;458,48;354,28;343,86;458,48;635,62;521,00;354,28;156,30;406,38;104,20;187,56;416,80;208,40;104,20;143,79;83,36;104,20;62,52;83,36;83,36;93,78;166,72;250,08;187,56;41,68;41,68;260,50;-;145,88;104,20;260,50;646,04;635,62;541,84;2782,14;2552,90;2865,50;2271,56;395,96;435,55;208,40;250,08;270,92;312,60;479,32;166,72;291,76;354,28;437,64;291,76;302,18;-;83,36;104,20;208,40;-;177,14;489,74;802,34;2188,20;1417,12;906,54;468,90;468,90;573,10;1271,24;591,85;333,44;208,40;583,52;187,56;593,94;125,04;177,14;302,18;-;177,14;93,78;406,38;104,20;41,68;39735,94
"0201010070 BIOPSIA DE BOLSA ESCROTAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14,66;14,66;14,66;-;-;-;-;-;-;18,33;18,33;-;18,33;-;-;18,33;-;-;-;-;-;-;18,33;-;-;-;-;-;-;-;-;-;-;-;-;18,33;-;-;18,33;18,33;-;-;-;-;-;-;18,33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54,98;27,49;-;-;-;27,49;-;-;-;-;41,24;-;-;-;27,49;-;-;-;18,33;-;-;-;45,82;18,33;-;-;-;-;-;-;-;18,33;-;-;-;-;-;-;-;-;-;-;18,33;-;21,99;-;-;-;-;18,33;18,33;-;-;-;-;-;-;-;-;-;-;-;-;18,33;-;-;18,33;-;-;-;-;-;-;-;-;-;-;54,99;-;-;657,08
"0201010097 BIOPSIA DE CONJUNTIVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31,10;-;-;-;-;-;-;-;-;-;-;-;-;-;62,20
"0201010100 BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;484,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57,73;-;-;57,73;-;55,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;702,06
"0201010119 BIOPSIA DE CORNEA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62,91;-;-;-;-;-;-;-;-;-;75,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138,43
"0201010127 BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;812,46;-;-;-;-;862,77;-;-;-;-;1624,92;-;-;-;1675,23;585,04;-;812,46;-;-;2303,31;816,33;920,82;-;3320,20;812,46;812,46;-;885,99;1682,97;843,42;1599,38;-;855,03;-;812,46;-;-;-;1595,07;1868,73;-;-;808,06;-;815,37;1655,88;885,99;-;-;-;812,46;1624,92;812,46;2413,67;-;-;812,46;-;-;812,46;-;597,39;-;-;1624,92;-;-;812,46;820,20;-;855,03;3944,90;2455,71;-;812,46;-;1510,91;-;-;-;812,46;838,97;-;-;1489,86;1517,02;812,46;3847,58;1624,92;1551,32;2437,38;689,05;1624,92;812,46;812,46;1526,58;1517,98;4850,24;-;-;812,46;1658,57;2318,89;2317,68;1509,15;812,46;812,46;812,46;-;-;-;-;-;-;-;1624,92;1499,11;812,46;1624,92;-;-;3839,68;1601,21;812,46;1528,90;1372,49;-;1551,31;-;-;-;844,08;-;816,33;812,46;-;-;-;-;-;724,64;107673,98
"0201010135 BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;277,32;-;-;-;-;-;-;-;-;-;-;-;719,76;-;-;-;-;278,61;-;-;-;-;-;-;-;-;504,95;-;278,61;-;-;-;-;-;-;437,28;-;-;-;-;-;-;278,61;-;-;-;-;-;-;-;-;-;-;278,61;-;-;-;-;-;-;318,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278,61;-;-;552,00;-;-;-;-;278,61;222,84;512,07;-;278,61;235,46;229,61;-;-;-;221,60;-;435,53;222,57;278,61;447,23;1053,57;835,83;1393,05;557,22;278,61;1226,67;557,22;278,61;278,61;-;1002,27;1337,77;278,61;-;278,61;490,49;-;278,61;557,22;576,57;-;-;-;-;-;278,61;576,57;-;-;278,61;855,18;278,61;568,83;257,84;-;835,83;-;-;-;-;-;-;-;-;-;213,37;255,32;-;-;278,61;491,25;-;-;-;23993,86
