  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Município e Ano/mês atendimento
Procedimento: 0303130075 TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES OSTEOMUSCULARES E DO TECIDO CONJUNT, 0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)
Período:Jan/2008-Mar/2021
"Município";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"260030 Agrestina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1305,40;-;1044,32;1240,13;913,78;2810,14;-;3289,92;3564,08;-;-;8430,42;1233,72;11103,48;11240,56;4660,72;2741,60;4455,10;6031,52;8156,26;45167,86;8087,72;11034,94;28375,56;52844,34;7402,32;8293,34;-;-;-;-;-;-;-;891,02;-;-;-;-;-;-;1370,80;-;2124,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;237813,79
"260140 Barreiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1580119,91;1225,30;1309,80;11665,65;1309,80;44845,68;7820,75;6384,19;4144,87;3299,82;-;-;1724893,75;-;26669,58;11436,05;12249,79;-;8542,71;-;-;2982,08;-;-;12677208,86;-;-;357302,59;173159,30;-;-;1022454,98;634436,97;173855,12;-;560531,14;-;2683,86;5516,84;-;161529,20;-;724893,34;14363,67;-;-;-;-;-;-;-;34890,30;175594,65;4970,13;424647,81;-;412371,57;-;16550,52;93040,82;-;115754,30;22067,37;187423,56;75993,27;-;38717,30;-;2286,26;18985,87;-;18588,28;-;-;-;34840,60;-;135187,51;-;76042,98;2385,65;101390,62;9890,54;91102,45;28230,33;50595,91;-;17942,17;51391,13;-;-;78428,64;-;35337,61;-;23309,90;45079,07;-;-;-;-;71470,45;-;17643,95;-;-;28578,24;-;2186,85;24850,64;-;-;-;-;16898,43;3180,88;-;-;35089,07;-;-;-;-;2137,15;-;24204,50;68935,68;-;-;-;-;3528,79;-;-;-;-;-;994,02;9642,04;-;-;-;-;-;-;6610,25;-;-;-;-;-;-;-;-;-;-;-;-;-;22695823,66
"260345 Camaragibe";-;-;8610,65;-;-;12295,07;-;-;-;-;-;-;-;-;-;-;-;-;-;1755,85;6650684,02;165248,74;1701315,31;119,71;-;15940,76;16824,54;-;2659,16;1510,77;-;1853,58;14613389,82;-;1534,11;-;-;-;-;13418,41;5270,04;13709,87;-;1345,36;-;28512,36;23170,66;2768,90;-;10078,46;31723,76;-;338447,07;4479,31;15852,29;-;3543744,78;-;11319,86;15876,90;-;17322,60;192159,39;8826,48;-;-;-;834,21;1703564,15;-;18325,71;21662,55;6619,86;4924,53;1668,42;41925,78;-;-;63938,16;-;152229,87;-;1668,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29489130,25
"260410 Caruaru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97263,20;205427,45;89742,58;79813,39;234560,22;11788,21;114839,93;104615,13;118220,03;164063,18;97896,93;152232,46;154036,70;141766,60;142044,70;148057,39;142496,82;150408,67;156963,48;174911,31;140869,41;145073,66;168265,78;154754,09;163516,74;160833,26;208198,52;158994,31;200991,84;143636,37;187970,17;199401,49;272810,11;237323,62;191946,36;82653,18;135485,63;179073,64;149998,30;218834,50;174451,37;137225,14;206210,52;103925,34;140853,26;115903,19;130068,05;32753,07;9741,41;78528,03;4174,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7315613,63
"260600 Garanhuns";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74531,94;706625,44;102290,81;185473,94;114586,33;126447,46;134172,83;157513,66;142765,30;144012,84;140980,39;158908,69;150848,73;165241,24;106802,11;140958,67;145491,77;168087,37;186053,36;262788,52;200712,43;240314,06;179356,06;142791,63;254569,82;201339,63;116151,76;173507,07;280066,65;202085,27;130167,54;130863,32;141996,37;196965,96;161280,46;148457,46;217343,36;155018,02;224947,79;181409,58;166896,76;157304,39;179172,95;175097,50;177681,97;250196,05;165405,80;265056,79;165654,27;135883,24;324698,34;296766,32;180365,76;175445,47;197015,69;233247,85;227880,24;211627,69;354618,39;292591,21;342789,39;148656,30;178029,82;137722,14;190206,72;163616,50;131161,49;262869,95;196469,02;215355,45;181707,74;269281,21;142592,73;239708,83;159640,41;258645,31;196568,44;266995,20;221468,78;275543,83;268983,22;229172,49;164312,36;112523,61;185087,33;283644,71;177483,21;221767,05;327481,60;215454,94;151340,33;267541,89;329121,84;184491,03;269977,32;190355,77;154670,27;159590,65;172662,12;108348,77;133000,49;124153,74;98806,14;62076,87;68438,64;33846,54;24403,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20424297,81
"260680 Igarassu";-;-;-;-;-;-;-;-;-;-;2650,55;-;-;-;-;-;-;-;-;-;1589667,01;2694,00;13993,22;11864,10;18729,43;-;-;10996,87;4607,68;-;-;-;1753512,89;14609,76;-;-;10247,39;-;-;-;-;-;-;174633,71;11770982,53;141849,56;54947,00;5141,02;3834121,62;-;89686,11;352872,89;-;8602,31;1781,54;172764,36;209695,39;214031,61;-;73817,60;17759,34;18326,27;17995,85;267331,51;-;22017,68;7803,10;153579,66;301221,38;-;-;-;-;20626,03;21967,96;221783,20;40854,44;154304,37;-;18687,68;94957,25;5318,03;246400,25;-;6958,17;136922,62;-;1590,44;17097,23;76937,58;-;8598,31;156342,11;546,71;8399,52;-;73806,41;124892,11;228279,36;-;646,11;107298,36;1888,64;248,50;2286,25;-;33399,27;-;-;-;105398,31;16152,92;11481,00;-;-;51211,41;95408,34;8747,43;-;-;-;-;-;17196,63;92525,65;-;77128,86;8896,52;83529,72;-;497,01;-;71402,62;17864,06;2037,75;67873,83;21497,44;35829,50;-;-;-;-;-;42604,38;17968,14;-;54158,96;21887,55;34561,97;19138,88;64542,82;-;-;-;-;-;34612,88;-;32576,83;19546,09;60368,92;26723,18;13845,15;-;-;-;-;-;-;30031,75;16339,30;12012,70;11605,48;-;4275,70;1323,42;-;2952,27;-;24461327,22
"260790 Jaboatão dos Guararapes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1892,83;-;2542,25;-;-;-;-;-;-;1576,42;-;1028,10;4042,47;4112,40;3151,45;2603,13;5343,34;-;-;-;3014,37;-;-;-;-;-;-;1644,96;-;1439,34;-;6645,65;4858,12;3631,23;4930,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2601,75;-;-;-;-;-;-;-;-;1713,50;-;1489,99;1849,18;-;-;-;-;-;-;4523,64;9867,01;2467,44;-;9732,68;7745,02;6235,75;5551,74;-;-;-;1576,42;-;-;-;1165,18;1165,18;-;1644,96;2398,90;-;-;-;2673,06;1507,88;-;-;-;-;-;1576,42;1095,26;-;1782,04;-;-;-;7333,78;-;1370,80;959,56;1370,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2124,74;-;-;-;-;-;-;-;-;-;685,40;3632,62;342,70;205,62;-;-;-;-;891,02;411,24;1987,66;-;-;-;-;-;-;-;-;-;2124,74;146260,47
"260960 Olinda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76095,10;4051979,34;107021,11;186996,72;117434,36;568597,43;149435,48;146985,59;266790,16;327708,16;313785,54;272815,91;166360,84;99527,41;345066,46;135640,55;213059,96;174308,29;137747,54;310963,66;257924,53;287923,67;361477,39;268635,40;277283,38;250941,78;103826,01;391447,38;436576,17;605908,42;169829,31;143587,02;170773,55;187672,00;331656,64;277929,53;808739,34;104074,51;115654,91;154272,76;574845,11;199451,30;118139,84;443235,96;173407,78;315205,33;203377,65;386029,79;300245,34;459886,02;221319,64;135038,38;341845,28;184938,48;98656,93;137423,96;175445,52;43836,46;123954,87;86430,44;99203,58;211130,97;28776,98;132950,87;502082,37;337670,51;91798,17;97861,75;155515,29;115207,41;315801,89;145077,87;118338,57;234043,22;210136,92;73657,26;102036,61;32454,89;22464,96;118189,58;21918,16;3528,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34343,58;40705,36;29124,94;35834,58;35685,50;41599,97;42196,40;44084,85;45874,31;50098,97;48707,25;46520,47;33200,46;28627,96;26242,32;23707,51;24254,23;27584,23;29274,07;22961,92;27136,92;22504779,77
"261000 Palmares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130,54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1507,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1439,34;-;-;891,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3968,78
"261070 Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1422607,87;5678,49;2937,15;2937,15;5743,76;8224,02;3916,20;9398,88;17003,03;1566,48;18051,27;2535,98;1006372,82;4112,40;14736,10;-;-;75942,32;28307,02;-;-;2124,74;-;2056,20;4507533,10;118711,28;131254,10;-;-;-;-;74914,22;35435,18;-;-;-;2261,82;-;171487,08;-;145304,80;-;-;-;-;-;-;8361,88;-;180808,52;-;3975,32;25017,10;117271,94;25085,64;-;11514,72;-;87662,66;-;10418,08;70322,04;-;-;8430,42;227552,80;-;8430,42;-;16792,30;-;-;-;205,62;172857,88;-;-;-;-;-;-;3289,92;7607,94;2878,68;49622,96;121452,88;36189,12;-;-;-;78272,68;-;-;93008,78;-;128718,12;-;-;-;-;42631,88;-;-;-;-;110829,18;-;110897,72;-;144413,78;-;-;6991,08;-;-;-;4180,94;30226,14;-;27964,32;-;52844,34;-;-;-;-;-;-;-;60794,98;-;-;38382,40;-;6237,14;-;47772,38;-;-;-;-;13022,60;34886,86;-;-;-;24742,94;7539,40;120698,94;3084,30;4797,80;-;-;-;10349,54;-;-;-;-;10220190,54
