 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Sarampo
Período:1984-2007
"Unidade da Federação";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"11 Rondônia";1;5;3;1;-;1;3;-;-;1;15
"12 Acre";2;1;9;-;-;2;-;-;-;-;14
"13 Amazonas";3;1;1;-;1;-;-;1;-;-;7
"14 Roraima";-;2;-;3;-;-;-;-;-;1;6
"15 Pará";15;25;7;4;4;2;1;1;-;-;59
"16 Amapá";13;8;-;-;-;-;-;-;1;-;22
"17 Tocantins";-;1;1;1;1;-;-;1;2;-;7
"21 Maranhão";2;6;1;1;2;-;-;1;-;1;14
"22 Piauí";-;-;-;-;-;1;2;-;1;-;4
"23 Ceará";5;3;-;2;-;1;1;-;2;1;15
"24 Rio Grande do Norte";-;-;-;2;-;-;-;-;-;-;2
"25 Paraíba";-;1;1;2;-;-;-;-;-;-;4
"26 Pernambuco";40;20;25;36;3;-;-;-;1;1;126
"27 Alagoas";3;1;3;-;-;-;-;-;-;-;7
"28 Sergipe";1;2;-;3;-;1;-;-;-;-;7
"29 Bahia";8;2;8;17;4;3;3;1;-;6;52
"31 Minas Gerais";8;5;17;15;1;3;2;2;-;4;57
"32 Espírito Santo";5;2;1;5;-;-;1;-;-;-;14
"33 Rio de Janeiro";5;6;2;4;2;3;2;3;3;1;31
"35 São Paulo";80;58;41;32;11;17;4;11;5;8;267
"41 Paraná";24;4;9;19;3;2;3;1;1;1;67
"42 Santa Catarina";23;8;3;4;1;1;2;3;-;3;48
"43 Rio Grande do Sul";12;12;5;2;5;5;2;1;1;1;46
"50 Mato Grosso do Sul";1;-;1;3;-;1;2;1;-;-;9
"51 Mato Grosso";3;-;3;3;-;1;-;-;1;-;11
"52 Goiás";2;1;5;3;3;1;-;1;2;-;18
"53 Distrito Federal";42;2;3;5;2;2;-;-;-;3;59
"Total";298;176;149;167;43;47;28;28;20;32;988
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
