 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Lista Morb  CID-10: Sarampo
Período:Jan/2008-Abr/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";-;-;-;1;-;2;1;-;-;-;5;3;2;-;14
"13 Amazonas";8;-;-;-;-;-;-;-;1;-;733;4;-;1;747
"14 Roraima";-;1;-;-;-;-;-;-;-;-;68;1;-;-;70
"15 Pará";-;-;2;3;2;-;1;-;2;-;14;20;277;3;324
"16 Amapá";-;-;-;-;-;1;1;-;-;-;-;-;78;89;169
"17 Tocantins";-;1;-;-;-;-;-;1;1;-;-;1;2;-;6
"21 Maranhão";-;-;-;-;-;2;-;-;1;-;2;2;3;-;10
"22 Piauí";-;-;-;-;-;1;1;-;1;2;1;2;1;-;9
"23 Ceará";1;2;11;-;-;-;59;41;1;1;2;6;1;-;125
"24 Rio Grande do Norte";-;-;-;1;-;-;-;-;-;-;1;1;-;-;3
"25 Paraíba";2;-;5;1;-;1;-;-;-;-;1;11;-;-;21
"26 Pernambuco";7;7;6;9;23;47;12;3;19;52;16;52;16;2;271
"27 Alagoas";-;-;1;-;-;-;-;-;-;-;-;6;3;-;10
"28 Sergipe";1;-;-;-;-;2;1;-;1;-;-;-;-;-;5
"29 Bahia";3;3;-;1;-;2;-;-;2;1;3;17;6;-;38
"31 Minas Gerais";2;1;2;2;9;1;2;-;1;-;22;66;15;-;123
"32 Espírito Santo";-;-;3;1;1;2;-;1;-;-;2;9;1;-;20
"33 Rio de Janeiro";1;2;1;-;4;1;-;2;-;2;1;19;55;-;88
"35 São Paulo";6;2;4;5;5;1;2;2;1;-;5;568;68;-;669
"41 Paraná";4;7;5;11;4;1;-;-;-;-;1;4;9;-;46
"42 Santa Catarina";2;3;1;1;-;-;-;-;-;-;3;13;9;2;34
"43 Rio Grande do Sul";19;11;24;30;12;5;2;4;2;4;10;8;6;-;137
"50 Mato Grosso do Sul";5;-;-;2;-;2;1;1;-;1;1;5;-;-;18
"51 Mato Grosso";-;-;-;1;1;2;-;-;-;-;-;-;-;-;4
"52 Goiás";60;5;-;2;2;3;-;-;-;-;-;15;5;-;92
"Total";121;45;65;71;63;76;83;55;33;63;891;833;557;97;3053
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
